iter	RMSE
0	515.8126359
1	493.3042158
2	470.6705737
3	449.2635699
4	428.794906
5	409.7884106
6	391.3203031
7	374.8330782
8	358.7224712
9	344.4398785
10	329.8218235
11	316.9499818
12	303.6333566
13	291.0357021
14	280.0219134
15	268.8822297
16	258.5730206
17	249.4628702
18	240.0249369
19	231.7145122
20	224.3018993
21	216.6403064
22	209.0598086
23	202.1670929
24	195.4338223
25	189.1954862
26	183.4001397
27	177.847688
28	173.0492284
29	168.0324695
30	163.4557736
31	159.2370998
32	155.3929331
33	151.7270534
34	148.4749584
35	145.487616
36	142.3789913
37	139.4031459
38	136.6323038
39	134.1186107
40	131.5451132
41	129.2598563
42	126.8272578
43	124.7729772
44	122.8108171
45	120.9802958
46	119.2080413
47	117.5973057
48	115.9947125
49	114.5597074
50	113.4199185
51	112.110935
52	110.9353629
53	109.7846639
54	108.7406668
55	107.7687355
56	106.9772704
57	106.1650076
58	105.3000275
59	104.5792365
60	103.8306793
61	103.2382152
62	102.4264566
63	101.906267
64	101.2455503
65	100.7128015
66	100.2491769
67	99.76315645
68	99.28785196
69	98.84834085
70	98.33221091
71	97.87669947
72	97.43281373
73	97.05553922
74	96.68747481
75	96.39188825
76	96.00690008
77	95.58335658
78	95.23830209
79	94.71947471
80	94.38513506
81	94.08527641
82	93.76675358
83	93.44649263
84	93.17158458
85	92.95248369
86	92.7131127
87	92.50060955
88	92.2466721
89	91.97457645
90	91.78270101
91	91.52818159
92	91.32808675
93	91.1335935
94	90.96951351
95	90.76545472
96	90.54699629
97	90.37522082
98	90.19940809
99	89.61598327
100	89.10636201
101	88.7230725
102	88.55112985
103	88.39870073
104	88.22888285
105	88.0751629
106	87.91735113
107	87.78707842
108	87.716034
109	87.6052401
110	87.12195603
111	86.70887652
112	86.53095041
113	86.40594157
114	86.29346275
115	86.16743042
116	86.02803546
117	85.90849947
118	85.46254135
119	85.35343865
120	85.22377454
121	85.11001473
122	84.96053788
123	84.84986408
124	84.73657279
125	84.54089086
126	84.4767108
127	84.35635819
128	84.20232992
129	84.11384696
130	83.98213446
131	83.89555528
132	83.80787702
133	83.61169612
134	83.3820999
135	83.26228985
136	83.16754588
137	83.10596949
138	82.99152956
139	82.85939434
140	82.73818344
141	82.66401449
