iter	Passed	Remaining
0	182	181915
1	184	92018
2	187	62273
3	190	47388
4	193	38497
5	195	32389
6	197	28020
7	199	24771
8	202	22306
9	205	20300
10	207	18621
11	209	17221
12	211	16033
13	213	15017
14	215	14137
15	217	13397
16	220	12736
17	222	12116
18	223	11562
19	225	11067
20	228	10629
21	230	10246
22	232	9885
23	234	9547
24	236	9233
25	238	8938
26	240	8669
27	242	8416
28	244	8178
29	246	7958
30	247	7750
31	249	7554
32	251	7370
33	253	7196
34	255	7042
35	257	6887
36	258	6739
37	260	6599
38	262	6471
39	264	6353
40	266	6238
41	268	6123
42	270	6022
43	272	5917
44	274	5820
45	276	5725
46	277	5634
47	280	5555
48	282	5482
49	284	5414
50	286	5339
51	288	5267
52	290	5197
53	293	5133
54	295	5076
55	297	5019
56	300	4964
57	302	4909
58	304	4856
59	306	4806
60	309	4759
61	311	4719
62	314	4681
63	316	4636
64	319	4593
65	321	4550
66	323	4507
67	326	4472
68	329	4444
69	332	4411
70	334	4372
71	336	4334
72	338	4298
73	340	4262
74	342	4228
75	345	4200
76	348	4174
77	350	4146
78	353	4115
79	355	4086
80	357	4059
81	360	4040
82	363	4012
83	365	3984
84	367	3956
85	369	3928
86	371	3903
87	375	3887
88	377	3865
89	379	3840
90	381	3815
91	384	3790
92	386	3766
93	389	3749
94	391	3733
95	394	3716
96	397	3699
97	399	3677
98	401	3656
99	405	3650
100	409	3647
101	412	3632
102	415	3616
103	418	3603
104	422	3599
105	425	3590
106	428	3576
107	431	3563
108	434	3554
109	437	3541
110	440	3528
111	443	3517
112	446	3506
113	449	3496
114	452	3484
115	455	3474
116	458	3459
117	460	3444
118	463	3430
119	466	3420
120	469	3410
121	472	3398
122	474	3383
123	476	3368
124	479	3356
125	481	3342
126	484	3332
127	488	3329
128	491	3321
129	494	3311
130	497	3297
131	499	3285
132	502	3275
133	505	3263
134	507	3251
135	509	3239
136	512	3228
137	515	3218
138	517	3208
139	520	3199
140	523	3190
141	526	3178
142	528	3166
143	531	3156
144	533	3146
145	536	3136
146	538	3127
147	541	3117
148	543	3105
149	546	3097
150	549	3089
151	552	3080
152	555	3072
153	557	3064
154	560	3056
155	564	3054
156	567	3048
157	570	3041
158	574	3036
159	576	3029
160	580	3025
161	584	3024
162	588	3019
163	590	3011
164	593	3003
165	596	2998
166	600	2993
167	602	2982
168	604	2972
169	606	2962
170	609	2954
171	612	2948
172	615	2941
173	617	2932
174	620	2923
175	622	2913
176	624	2904
177	627	2896
178	629	2888
179	631	2879
180	634	2869
181	636	2860
182	638	2852
183	641	2844
184	644	2838
185	647	2831
186	649	2824
187	651	2815
188	654	2807
189	656	2799
190	660	2795
191	662	2790
192	665	2781
193	667	2773
194	670	2769
195	673	2764
196	677	2760
197	680	2755
198	682	2748
199	685	2741
200	688	2735
201	691	2732
202	694	2726
203	696	2719
204	699	2711
205	701	2703
206	704	2698
207	707	2694
208	710	2688
209	712	2681
210	715	2674
211	717	2668
